car_ID,fueltype,doornumber,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,horsepower,peakrpm,price
1,diesel,four,98.8,177.8,66.5,55.5,2443,four,122,64,4650,10795
2,diesel,four,104.9,175,66.1,54.4,2700,four,134,72,4200,18344
3,diesel,four,110,190.9,70.3,56.5,3515,five,183,123,4350,25552
4,diesel,four,110,190.9,70.3,58.7,3750,five,183,123,4350,28248
5,diesel,two,106.7,187.5,70.3,54.9,3495,five,183,123,4350,28176
6,diesel,four,115.6,202.6,71.7,56.3,3770,five,183,123,4350,31600
7,diesel,two,94.5,165.3,63.8,54.5,2017,four,103,55,4800,7099
8,diesel,four,107.9,186.7,68.4,56.7,3197,four,152,95,4150,13200
9,diesel,four,114.2,198.9,68.4,58.7,3430,four,152,95,4150,13860
10,diesel,four,107.9,186.7,68.4,56.7,3252,four,152,95,4150,16900
11,diesel,four,114.2,198.9,68.4,58.7,3485,four,152,95,4150,17075
12,diesel,four,107.9,186.7,68.4,56.7,3252,four,152,95,4150,17950
13,diesel,four,95.7,166.3,64.4,53,2275,four,110,56,4500,7898
14,diesel,four,95.7,166.3,64.4,52.8,2275,four,110,56,4500,7788
15,diesel,four,102.4,175.6,66.5,54.9,2480,four,110,73,4500,10698
16,diesel,two,97.3,171.7,65.5,55.7,2261,four,97,52,4800,7775
17,diesel,four,97.3,171.7,65.5,55.7,2264,four,97,52,4800,7995
18,diesel,four,97.3,171.7,65.5,55.7,2319,four,97,68,4500,9495
19,diesel,four,100.4,180.2,66.9,55.1,2579,four,97,68,4500,13845
20,diesel,four,109.1,188.8,68.9,55.5,3217,six,145,106,4800,22470
21,gas,two,88.6,168.8,64.1,48.8,2548,four,130,111,5000,13495
22,gas,two,88.6,168.8,64.1,48.8,2548,four,130,111,5000,16500
23,gas,two,94.5,171.2,65.5,52.4,2823,six,152,154,5000,16500
24,gas,four,99.8,176.6,66.2,54.3,2337,four,109,102,5500,13950
25,gas,four,99.4,176.6,66.4,54.3,2824,five,136,115,5500,17450
26,gas,two,99.8,177.3,66.3,53.1,2507,five,136,110,5500,15250
27,gas,four,105.8,192.7,71.4,55.7,2844,five,136,110,5500,17710
28,gas,four,105.8,192.7,71.4,55.7,2954,five,136,110,5500,18920
29,gas,four,105.8,192.7,71.4,55.9,3086,five,131,140,5500,23875
30,gas,two,99.5,178.2,67.9,52,3053,five,131,160,5500,17.859.167
31,gas,two,101.2,176.8,64.8,54.3,2395,four,108,101,5800,16430
32,gas,four,101.2,176.8,64.8,54.3,2395,four,108,101,5800,16925
33,gas,two,101.2,176.8,64.8,54.3,2710,six,164,121,4250,20970
34,gas,four,101.2,176.8,64.8,54.3,2765,six,164,121,4250,21105
35,gas,four,103.5,189,66.9,55.7,3055,six,164,121,4250,24565
36,gas,four,103.5,189,66.9,55.7,3230,six,209,182,5400,30760
37,gas,two,103.5,193.8,67.9,53.7,3380,six,209,182,5400,41315
38,gas,four,110,197,70.9,56.3,3505,six,209,182,5400,36880
39,gas,two,88.4,141.1,60.3,53.2,1488,three,61,48,5100,5151
40,gas,two,102,191.7,70.6,47.8,3950,twelve,326,262,5000,36000
41,gas,two,93.1,159.1,64.2,54.1,1890,four,91,68,5000,5195
42,gas,two,93.1,159.1,64.2,54.1,1900,four,91,68,5000,6095
43,gas,two,93.1,159.1,64.2,54.1,1905,four,91,68,5000,6795
44,gas,four,93.1,166.8,64.2,54.1,1945,four,91,68,5000,6695
45,gas,four,93.1,166.8,64.2,54.1,1950,four,91,68,5000,7395
46,gas,two,95.3,169,65.7,49.6,2380,two,70,101,6000,10945
47,gas,two,95.3,169,65.7,49.6,2380,two,70,101,6000,11845
48,gas,two,95.3,169,65.7,49.6,2385,two,70,101,6000,13645
49,gas,two,95.3,169,65.7,49.6,2500,two,80,135,6000,15645
50,gas,four,107.9,186.7,68.4,56.7,3020,four,120,97,5000,11900

